    INFO | simple_requests.py | Line18 | 2022-09-06 12:48:25,101 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:48:25,108 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:48:25,156 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 60
    INFO | simple_requests.py | Line37 | 2022-09-06 12:48:25,160 | 返回状态码不符200!=400
    INFO | load_data.py | Line33 | 2022-09-06 12:49:20,722 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:49:20,732 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:49:21,245 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:49:21,248 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:49:21,284 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 60
    INFO | simple_requests.py | Line38 | 2022-09-06 12:49:21,286 | 返回状态码不符200!=400
    INFO | simple_requests.py | Line42 | 2022-09-06 12:49:21,288 | 不存在指定的字符串模式[错误]
    INFO | load_data.py | Line33 | 2022-09-06 12:49:38,223 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:49:38,234 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:49:38,744 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:49:38,754 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:49:38,788 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 60
    INFO | simple_requests.py | Line38 | 2022-09-06 12:49:38,790 | 返回状态码不符200!=400
    INFO | simple_requests.py | Line42 | 2022-09-06 12:49:38,791 | 不存在指定的字符串模式[错误]
    INFO | load_data.py | Line33 | 2022-09-06 12:51:28,376 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:51:28,395 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:51:28,902 | 正在处理GET请求
   DEBUG | connectionpool.py | Line227 | 2022-09-06 12:51:28,906 | Starting new HTTP connection (1): wthrcdn.etouch.cn:80
   DEBUG | connectionpool.py | Line452 | 2022-09-06 12:51:28,949 | http://wthrcdn.etouch.cn:80 "GET /weather_mini?city=%E5%93%A5%E8%B0%AD%E5%B8%82 HTTP/1.1" 200 60
    INFO | simple_requests.py | Line42 | 2022-09-06 12:51:28,952 | 不存在指定的字符串模式[invalid-citykey]
    INFO | load_data.py | Line33 | 2022-09-06 12:51:52,151 | 加载了data.yaml中的数据
    INFO | load_data.py | Line59 | 2022-09-06 12:51:52,161 | 加载了data.xlsx中的数据
    INFO | simple_requests.py | Line18 | 2022-09-06 12:51:52,675 | 正在处理GET请求
